TACC: Starting up job 6050088
TACC: Setting up parallel environment for MVAPICH2+mpispawn.
TACC: Starting parallel tasks...
Duration: 0.082793 seconds
Index	x	y	mass	fx	fy
141	50.558811	2.726794	0.100000	-0.048828	1.320312(--err)
141	50.558811	2.726794	0.100000	17509.111328	41088.792969
142	90.180420	26.740849	0.100000	-210.481079	71.669952(--err)
142	90.180420	26.740849	0.100000	-388.064331	-454.569305
143	12.288840	16.749203	0.100000	0.000000	-2048.000000(--err)
143	12.288840	16.749203	0.100000	-15672085504.000000	13844601856.000000
144	58.674927	67.426735	0.100000	12.000000	5.500000(--err)
144	58.674927	67.426735	0.100000	7118289.000000	-2447061.500000
145	3.045641	22.769949	0.100000	2.000000	15.000000(--err)
145	3.045641	22.769949	0.100000	-6590113.000000	-7778459.000000
146	78.256401	97.267555	0.100000	0.000000	0.000000(--err)
146	78.256401	97.267555	0.100000	-2339662725120.000000	235915493376.000000
147	86.263199	92.900566	0.100000	4107.500000	-4600.187500(--err)
147	86.263199	92.900566	0.100000	541569.875000	-298128.843750
148	1.509658	29.831623	0.100000	104743.796875	-435725.031250(--err)
148	1.509658	29.831623	0.100000	-106448.062500	436063.468750
149	4.579794	55.770027	0.100000	18200.763672	-25423.662109(--err)
149	4.579794	55.770027	0.100000	-37022.230469	24865.244141
150	63.679440	12.577894	0.100000	32.000000	0.000000(--err)
150	63.679440	12.577894	0.100000	-361449824.000000	187191824.000000
151	17.394287	53.387833	0.100000	-9.737427	3.384766(--err)
151	17.394287	53.387833	0.100000	-1962.280640	23694.636719
152	19.125534	92.209045	0.100000	0.000000	0.000000(--err)
152	19.125534	92.209045	0.100000	32217030723633152.000000	29275656730705920.000000
153	27.420944	73.105476	0.100000	-3.672119	-33.325439(--err)
153	27.420944	73.105476	0.100000	1132.812622	2602.731934
154	64.657761	13.707039	0.100000	-2.000000	2.500000(--err)
154	64.657761	13.707039	0.100000	-3241537.000000	-3728808.250000
155	32.762207	36.584145	0.100000	0.000000	0.000000(--err)
155	32.762207	36.584145	0.100000	-41087053824.000000	-63699111936.000000
156	11.470615	83.321014	0.100000	0.407471	-0.635803(--err)
156	11.470615	83.321014	0.100000	3136.732666	268.314514
157	39.310940	1.651034	0.100000	-8.000000	-16.000000(--err)
157	39.310940	1.651034	0.100000	-85361136.000000	-68972968.000000
158	10.061870	51.599777	0.100000	-925.078125	572.060547(--err)
158	10.061870	51.599777	0.100000	-33549.941406	21291.925781
159	18.400236	68.736794	0.100000	34577.101562	-5982.775391(--err)
159	18.400236	68.736794	0.100000	-11221.981445	17279.537109
160	19.026516	21.445877	0.100000	44.024902	-115.935059(--err)
160	19.026516	21.445877	0.100000	7186.830566	5361.400879
161	91.506744	97.282913	0.100000	-1092.750000	-2081.000000(--err)
161	91.506744	97.282913	0.100000	-2189350.000000	-1706205.000000
162	18.713436	77.769943	0.100000	2.351562	-12.406250(--err)
162	18.713436	77.769943	0.100000	-73650.656250	371246.812500
163	90.183487	20.223093	0.100000	-5003.593750	-10177.625000(--err)
163	90.183487	20.223093	0.100000	301418.000000	-1418410.500000
164	7.601567	94.763275	0.100000	2124096.500000	11223693.000000(--err)
164	7.601567	94.763275	0.100000	-2126537.750000	-11225052.000000
165	75.993118	71.281013	0.100000	-4.500000	-17.286438(--err)
165	75.993118	71.281013	0.100000	-12293.711914	883.083313
